id,gender,age,spend
0001,M,43,6.49
0002,M,87,188.54
0003,F,24,167.68
0004,F,79,20.2
0005,M,43,38.09
0006,F,61,204.8
0007,F,22,48.17
0008,M,19,109.8
0009,F,22,225.54
0010,M,95,110.01
0011,F,52,170.56
0012,F,41,59.21
0013,M,18,81.62
0014,F,38,181.86
0015,F,89,75.34
0016,F,87,171.35
0017,M,26,252.3
0018,F,43,195.79
0019,F,99,208.81
0020,F,20,8.24
0021,F,69,282.02
0022,F,59,235.38
0023,M,21,9.55
0024,F,58,295.69
0025,F,33,57.37
0026,M,70,191.26
0027,F,66,6.3
0028,F,18,141.4
0029,F,28,52.03
0030,F,22,98.7
0031,F,39,176.44
0032,F,41,79.82
0033,F,94,156.41
0034,M,39,26.01
0035,F,23,130.76
0036,F,23,77.2
0037,F,81,137.94
0038,M,22,186.18
0039,F,19,279.69
0040,F,74,131.71
0041,F,34,132.89
0042,F,23,115.37
0043,F,23,74.21
0044,F,22,202.89
0045,F,18,223.02
0046,M,54,276.12
0047,M,41,177.84
0048,F,76,269.91
0049,M,46,24.04
0050,F,48,126.97
0051,F,18,238.64
0052,M,95,210.51
0053,F,23,174.86
0054,F,18,226.06
0055,F,22,189.27
0056,F,20,235.22
0057,F,29,230.28
0058,F,48,62.28
0059,F,22,127.41
0060,F,41,100.79
0061,F,18,142.21
0062,F,96,89.07
0063,M,19,280.46
0064,M,78,89.92
0065,F,29,50.72
0066,F,36,61.96
0067,M,35,294.8
0068,M,19,72.34
0069,F,19,48.8
0070,F,59,8.45
0071,F,38,31.83
0072,F,49,138.45
0073,F,76,147.86
0074,M,22,219.59
0075,F,99,30.87
0076,F,37,106.04
0077,F,56,20.2
0078,F,68,5.32
0079,F,18,193.53
0080,F,95,17.06
0081,M,63,233.18
0082,M,31,65.84
0083,F,23,117.12
0084,M,23,47.04
0085,F,52,59.52
0086,F,28,24.67
0087,M,23,116.97
0088,M,21,194.83
0089,F,19,251.51
0090,F,20,160.72
0091,F,41,10.65
0092,M,60,223.26
0093,F,31,159.69
0094,F,22,252.82
0095,M,92,86.65
0096,F,28,229.08
0097,F,99,174.2
0098,F,72,103.39
0099,F,23,83.03
0100,F,65,265.79
0101,F,32,259.9
0102,F,24,96.81
0103,F,83,131.01
0104,F,28,75.64
0105,F,64,249.41
0106,F,19,281.13
0107,M,23,150.44
0108,F,20,12.06
0109,F,46,176.01
0110,M,27,190.02
0111,M,47,235.89
0112,F,20,67.41
0113,F,49,214.39
0114,M,23,25.97
0115,M,20,199.33
0116,M,32,251.53
0117,M,21,214.2
0118,F,35,14.09
0119,F,18,242.06
0120,M,18,91.14
0121,F,71,255.19
0122,F,24,26.05
0123,F,24,154.33
0124,M,20,55.38
0125,M,25,283.75
0126,F,23,220.63
0127,F,61,168.43
0128,F,23,223.81
0129,M,77,139.06
0130,M,29,133.43
0131,M,23,221.92
0132,M,23,80.54
0133,M,87,247.06
0134,M,38,109.56
0135,F,44,157.3
0136,M,25,249.68
0137,F,20,20.17
0138,F,60,35.65
0139,M,23,115.52
0140,F,47,153.64
0141,F,30,115.54
0142,F,20,297.12
0143,M,41,179.07
0144,F,38,32.31
0145,F,23,213.11
0146,F,31,204.92
0147,F,37,16.71
0148,F,67,154.13
0149,F,24,142.11
0150,F,20,96.66
0151,M,84,30.07
0152,M,38,50.63
0153,F,49,192.51
0154,M,45,232.63
0155,F,21,224.62
0156,M,18,84.92
0157,F,19,98.49
0158,M,54,16.91
0159,F,23,138.79
0160,F,83,6.78
0161,F,20,71.04
0162,M,24,257.59
0163,F,86,66.52
0164,F,37,96.15
0165,F,19,184.06
0166,M,82,266.78
0167,F,52,188.5
0168,F,40,239.8
0169,F,49,293.19
0170,F,19,19.63
0171,M,24,210.99
0172,F,24,93.67
0173,F,38,20.56
0174,M,19,6.03
